# Assembly name:  Armfum1
# Organism name:  Armillaria fumosa (basidiomycete fungi)
# Infraspecific name:  strain=CBS 122221
# Taxid:          153910
# BioSample:      SAMN16773873
# BioProject:     PRJNA677794
# Submitter:      DOE Joint Genome Institute
# Date:           2023-07-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAUDYM01
# Assembly method: Falcon v. 1.2.3
# Expected final version: no
# Genome coverage: 273.72x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_030407015.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030407045.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
IW262scaffold_44	unplaced-scaffold	na	na	JAUDYM010000044.1	<>	na	Primary Assembly	23736	na
IW262scaffold_45	unplaced-scaffold	na	na	JAUDYM010000045.1	<>	na	Primary Assembly	23715	na
IW262scaffold_46	unplaced-scaffold	na	na	JAUDYM010000046.1	<>	na	Primary Assembly	23603	na
IW262scaffold_47	unplaced-scaffold	na	na	JAUDYM010000047.1	<>	na	Primary Assembly	23177	na
IW262scaffold_48	unplaced-scaffold	na	na	JAUDYM010000048.1	<>	na	Primary Assembly	22254	na
IW262scaffold_49	unplaced-scaffold	na	na	JAUDYM010000049.1	<>	na	Primary Assembly	21431	na
IW262scaffold_5	unplaced-scaffold	na	na	JAUDYM010000005.1	<>	na	Primary Assembly	4159390	na
IW262scaffold_50	unplaced-scaffold	na	na	JAUDYM010000050.1	<>	na	Primary Assembly	17619	na
IW262scaffold_51	unplaced-scaffold	na	na	JAUDYM010000051.1	<>	na	Primary Assembly	16116	na
IW262scaffold_52	unplaced-scaffold	na	na	JAUDYM010000052.1	<>	na	Primary Assembly	12753	na
IW262scaffold_53	unplaced-scaffold	na	na	JAUDYM010000053.1	<>	na	Primary Assembly	12711	na
IW262scaffold_54	unplaced-scaffold	na	na	JAUDYM010000054.1	<>	na	Primary Assembly	8753	na
IW262scaffold_6	unplaced-scaffold	na	na	JAUDYM010000006.1	<>	na	Primary Assembly	3959705	na
IW262scaffold_7	unplaced-scaffold	na	na	JAUDYM010000007.1	<>	na	Primary Assembly	3850518	na
IW262scaffold_8	unplaced-scaffold	na	na	JAUDYM010000008.1	<>	na	Primary Assembly	2547285	na
IW262scaffold_9	unplaced-scaffold	na	na	JAUDYM010000009.1	<>	na	Primary Assembly	2066225	na
